Dataset,Accuracy,Loss,F1 Score,Precision,Recall
Training,0.9994343891402715,0.020386681781175087,0.9994342927386172,0.999435982410299,0.9994343891402715
Validation,0.5121951219512195,17.582269945910806,0.5178293000778608,0.5771672132488214,0.5121951219512195
Test,0.4895591647331787,18.398152542008752,0.48859536746330057,0.5458676366228277,0.4895591647331787
